	C_S27	C_S28	C_S31	C_S43	C_S48	E_S36	E_S41	E_S42	E_S49	E_S50	N_S29	N_S30	N_S37	N_S38	N_S46
ENSG00000228037	0	21	0	0	2	0	1	3	7	3	0	1	0	2	1
ENSG00000142611	8	88	0	4	7	19	12	13	22	16	20	4	5	10	10
ENSG00000284616	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000157911	146	213	108	98	79	61	100	41	111	124	87	145	36	32	76
ENSG00000260972	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
ENSG00000224340	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000226374	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0
ENSG00000142655	376	356	328	264	163	155	284	201	392	294	294	613	283	208	284
ENSG00000232596	0	0	1	0	0	0	4	12	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
ENSG00000149527	51	74	7	9	57	29	53	216	118	53	195	89	35	61	212
ENSG00000284739	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171621	698	1270	724	246	212	223	834	136	652	366	527	355	287	546	164
ENSG00000272235	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000284694	0	0	3	0	0	0	1	7	1	0	0	1	1	2	0
ENSG00000224387	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000142583	11	3	9	3	0	1	22	23	29	6	2	5	4	1	0
ENSG00000284674	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000287727	2	0	0	0	2	2	0	0	0	0	0	0	2	1	2
ENSG00000286448	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0
ENSG00000284703	0	0	4	0	0	0	4	24	0	0	0	0	2	0	0
ENSG00000226457	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0
ENSG00000173614	145	157	164	104	98	56	219	102	112	121	98	151	129	66	60
ENSG00000215720	0	0	1	0	1	0	2	8	0	0	0	1	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000204624	0	1	2	1	0	1	6	2	2	0	0	1	2	0	0
ENSG00000142606	5	10	0	5	1	5	3	0	9	1	7	7	6	3	3
ENSG00000225931	0	9	0	0	0	1	7	0	5	2	1	4	0	0	0
ENSG00000171729	54	105	49	22	81	65	199	118	178	156	67	70	15	21	35
ENSG00000229393	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSG00000037637	225	216	221	130	138	88	177	136	227	191	166	250	151	147	92
ENSG00000287586	0	0	0	1	1	0	0	2	0	0	0	0	1	0	1
ENSG00000159423	7228	3673	12943	5137	5556	2650	4429	3244	7237	4915	6217	8481	4869	2765	5120
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000157916	2494	2579	2895	1550	1405	799	1924	1165	1538	1309	1532	1967	1266	741	1116
ENSG00000157881	166	292	118	114	156	101	241	175	171	186	166	315	206	132	122
ENSG00000238290	0	1	2	0	7	9	12	14	16	22	6	27	0	17	18
ENSG00000225387	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000048707	650	866	425	270	353	315	604	324	644	470	455	1074	260	436	321
ENSG00000225196	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ENSG00000162444	199	60	186	53	41	47	46	69	576	256	143	303	33	99	48
ENSG00000279625	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
ENSG00000180758	104	144	106	75	117	38	162	46	124	93	84	112	87	189	49
ENSG00000184677	160	446	164	86	146	157	212	99	246	159	153	276	100	143	94
ENSG00000288398	36	31	33	21	38	19	41	13	42	26	28	48	24	15	14
ENSG00000224621	0	6	0	2	2	3	7	1	3	3	0	4	0	6	1
ENSG00000285833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	22	75	22	30	15	53	87	39	86	44	65	133	7	93	20
ENSG00000284692	0	0	0	0	4	0	5	14	6	1	1	0	0	0	2
ENSG00000284745	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
ENSG00000280222	0	4	3	0	1	6	5	7	10	4	4	5	0	1	1
ENSG00000285945	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000197921	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0
ENSG00000233755	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0
ENSG00000233929	268	7	470	17	30	16	135	157	128	23	52	30	488	390	92
ENSG00000234166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000055070	781	1347	852	523	511	336	679	378	804	618	508	946	522	514	373
ENSG00000230035	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000225643	2	4	0	0	0	2	1	0	0	1	1	2	0	2	1
ENSG00000284666	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000228943	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0
ENSG00000234397	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000204138	393	491	411	222	402	189	297	295	360	343	249	652	268	509	230
ENSG00000233419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	56	28	15	35	11	5	13	4	4	3	1	12	6	8	5
ENSG00000228176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225011	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000284676	0	0	0	1	0	0	2	9	5	2	0	0	0	0	0
ENSG00000090020	57	156	40	86	39	35	61	52	131	124	45	117	11	73	40
ENSG00000157978	386	469	442	235	254	175	309	222	388	311	309	427	340	254	204
ENSG00000158006	336	345	378	255	303	160	414	241	394	396	326	536	191	242	230
ENSG00000214812	1	2	0	0	1	1	0	3	0	0	0	0	0	0	3
ENSG00000196581	30	23	13	1	12	54	78	31	65	26	10	12	10	11	6
ENSG00000169403	119	116	142	325	104	42	188	93	225	131	66	117	41	18	82
ENSG00000171612	604	1206	1087	287	312	65	713	266	259	253	234	323	668	450	110
ENSG00000270927	0	0	0	0	0	0	2	5	4	0	0	0	0	0	0
ENSG00000188910	22	76	5	9	4	3	31	4	45	10	14	32	0	20	14
ENSG00000230523	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000158161	163	233	163	134	106	81	149	121	145	147	83	220	60	146	71
ENSG00000142627	88	725	427	60	189	191	546	356	590	619	463	639	101	708	319
ENSG00000284668	0	0	0	0	0	0	5	1	1	0	0	0	0	0	2
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142632	31	101	40	3	54	12	33	33	76	19	47	66	39	17	17
ENSG00000234593	1	0	4	0	0	0	2	6	1	1	0	0	0	1	0
ENSG00000189337	68	76	44	56	44	75	43	54	60	53	36	115	17	77	49
ENSG00000028137	573	613	525	639	679	229	557	231	1020	667	531	546	236	563	335
ENSG00000204464	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1
ENSG00000130939	415	680	367	216	229	220	399	255	342	303	262	568	265	289	207
ENSG00000175147	1	30	5	0	2	10	12	33	16	17	5	3	1	8	1
ENSG00000127472	79	8	41	24	33	29	66	63	168	95	46	38	46	61	39
ENSG00000060656	162	266	148	59	168	178	457	149	250	284	188	316	90	126	85
ENSG00000163867	86	113	142	21	65	49	111	60	120	85	42	93	53	79	29
ENSG00000230214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189280	8	3	0	2	1	0	1	0	1	0	2	3	0	2	1
ENSG00000134698	226	328	253	156	190	168	336	241	217	218	157	412	101	210	114
ENSG00000272420	1	2	0	0	3	2	3	5	5	4	1	0	0	5	3
ENSG00000132881	26	29	29	28	20	18	23	13	37	41	42	36	23	8	20
ENSG00000273274	2	1	3	0	1	0	7	22	2	2	0	0	14	1	1
ENSG00000236648	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0
ENSG00000232273	3	10	8	1	6	2	7	7	11	11	6	19	4	2	5
ENSG00000287396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130940	26	130	21	12	47	27	63	60	43	45	41	47	29	24	3
ENSG00000163879	152	240	255	94	142	152	201	190	470	495	247	272	33	266	175
ENSG00000227527	6	3	1	0	0	0	13	4	4	4	4	9	1	0	2
ENSG00000116954	94	157	211	90	120	43	184	125	150	123	68	104	74	140	49
ENSG00000228589	81	73	109	39	63	27	73	68	60	35	63	61	95	23	47
ENSG00000163873	3	15	0	0	4	0	13	7	0	1	0	2	2	2	0
ENSG00000117215	6	0	1	2	3	5	2	4	24	9	3	8	0	0	6
ENSG00000230163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227538	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000044012	20	2	3	12	0	4	46	11	29	11	18	24	4	17	37
ENSG00000179051	124	384	193	94	175	123	330	161	368	243	182	240	109	214	119
ENSG00000215895	141	50	115	43	62	24	167	49	85	35	43	27	71	26	28
ENSG00000284650	1	0	4	0	1	0	0	0	2	1	1	0	0	0	0
